Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,SNetRtg,,SORtg,,SDRtg,,SOSNetRtg,
152,Charleston,CAA,24-9,0.66,106.1,193,105.5,146,70.1,49,0.141,3,-2.71,217,105.9,206,108.6,228,0.14,164
153,Towson,CAA,22-11,0.63,106.9,172,106.2,160,63.7,347,0.094,24,-2.19,189,105.9,203,108.1,198,3.28,87
154,Loyola Marymount,WCC,17-15,0.56,104.2,221,103.7,108,67.3,186,0.062,48,2.62,102,108.7,94,106.1,131,-0.14,177
155,Nebraska Omaha,Sum,22-12,0.52,111.2,97,110.6,253,67.8,148,0.071,39,-2.53,205,106.8,158,109.3,271,0.39,153
156,Montana,BSky,25-9,0.43,110.9,98,110.5,249,67.2,194,0.186,1,-2.22,192,106.5,172,108.7,235,8.8,24
157,UTEP,CUSA,18-15,0.4,105.4,206,105,135,68.8,94,0.028,106,2.44,106,106.9,153,104.4,95,0.81,141
158,Western Kentucky,CUSA,17-15,0.28,103.5,233,103.2,100,71.7,15,0.034,92,2.15,110,106.5,166,104.4,94,1.9,115
159,Texas A&M Corpus Chris,Slnd,20-14,0.25,106,195,105.8,152,67.5,173,-0.028,264,-3.79,259,104.2,287,107.9,195,4,68
160,Virginia Tech,ACC,13-19,0.15,106.4,183,106.3,162,65.2,293,0.03,104,6.9,74,111,73,104.1,86,-1.22,212
161,Miami OH,MAC,24-8,0.06,107.4,160,107.4,188,69.4,69,0.101,19,-6.59,310,103.3,303,109.9,315,-3.42,277
162,James Madison,SB,20-12,0,110.5,103,110.5,251,64.9,305,0.069,42,-1.53,174,105.5,233,107,154,3.45,83
163,Winthrop,BSth,23-11,-0.04,108.4,143,108.4,211,72.8,6,0.078,33,-3.85,262,105.9,204,109.7,308,-3.6,279
164,San Jose St.,MWC,15-19,-0.07,107.4,161,107.5,192,66.4,228,0.009,157,4.75,93,108.7,96,104,84,-3.29,272
165,Purdue Fort Wayne,Horz,19-13,-0.09,109,136,109.1,225,69.8,58,-0.015,221,-3.65,254,105.3,243,108.9,245,0.64,144
166,Cal Baptist,WAC,17-14,-0.14,106,198,106.1,155,65.9,267,-0.008,204,-2.21,190,103.5,297,105.7,120,-0.03,171
167,Lamar,Slnd,20-13,-0.18,102,254,102.2,88,65.5,285,0.047,71,-1.85,179,105.5,234,107.3,164,3.92,69
168,Cleveland St.,Horz,21-12,-0.43,103.7,228,104.1,119,65.4,289,0.032,97,-4.44,278,104.9,260,109.3,273,-0.29,182
169,Marshall,SB,20-13,-0.54,106.4,187,106.9,175,68.8,96,0.002,173,-4.41,277,105.3,242,109.7,301,-4.54,304
170,Temple,Amer,17-15,-0.55,110.1,109,110.6,254,68.8,95,0.017,133,-0.21,153,106.6,163,106.8,149,-2.01,232
171,East Carolina,Amer,19-13,-0.55,107.1,168,107.6,194,66.6,219,0.037,86,-1.58,175,106.5,169,108.1,200,-5.58,325
172,Appalachian St.,SB,17-14,-0.61,101.1,279,101.7,80,63.2,351,-0.028,265,-3.34,240,106.1,190,109.4,281,3,90
173,Florida Gulf Coast,ASun,18-14,-0.66,108.2,146,108.9,218,65.3,292,-0.026,256,-3.82,261,105.7,220,109.5,286,3.52,80
174,Nicholls,Slnd,20-13,-0.75,105.7,204,106.5,169,68.2,130,0.054,59,-1.89,180,104.5,276,106.4,138,8.18,31
175,Illinois Chicago,MVC,17-14,-0.79,107,171,107.8,197,69.2,74,0.066,43,1.3,119,107.3,134,106,126,2.57,96
176,Sam Houston St.,CUSA,13-19,-0.96,110.5,102,111.5,269,67.7,159,-0.04,284,4.07,97,107,142,103,67,7.06,37
177,Cal Poly,BW,16-18,-1.23,109.2,127,110.5,250,74.7,3,-0.006,195,1.02,124,106.4,174,105.4,115,5.11,51
178,Norfolk St.,MEAC,22-10,-1.25,108.9,138,110.2,242,66.6,221,0.034,91,-7.23,321,103.1,310,110.3,334,2.92,92
179,Oakland,Horz,16-18,-1.33,107.2,167,108.5,212,63.9,339,-0.007,197,-0.26,155,107.4,126,107.7,185,13.87,5
180,Jacksonville,ASun,19-13,-1.47,101.8,265,103.3,103,67.5,166,0.062,46,-2.61,213,107.3,131,110,318,6.64,43
181,Princeton,Ivy,19-10,-1.66,105.9,201,107.5,193,66.8,214,0.138,4,-1.44,171,106.8,155,108.3,212,0.02,170
182,Eastern Kentucky,ASun,18-14,-1.72,109.7,116,111.4,268,67.7,156,0.019,127,-2.97,227,105.9,205,108.9,241,4.28,63
183,Central Connecticut,NEC,25-7,-1.73,99.8,298,101.6,77,65.9,266,0.023,121,-11.83,364,100.3,363,112.1,364,-2.74,253
184,Boston College,ACC,12-19,-1.76,105.4,207,107.2,180,66.8,211,0.018,131,5.41,87,109.7,86,104.2,90,-6.68,340
185,Merrimack,MAAC,18-14,-1.87,100.2,295,102.1,85,64.7,316,0.012,146,-5.4,292,104.1,289,109.5,287,7.05,39
186,Wyoming,MWC,12-20,-1.98,103.7,230,105.6,151,64.7,317,-0.027,261,4.96,92,109.5,88,104.5,98,-3.15,269
187,Montana St.,BSky,15-18,-2.03,105.3,209,107.4,186,65.9,263,-0.063,324,-1.99,183,106.1,189,108.1,203,4.95,53
188,Drexel,CAA,18-15,-2.06,104,222,106.1,154,63.1,355,-0.052,312,-4.65,285,105.3,238,110,321,-5.29,318
189,Rice,Amer,13-19,-2.3,106.4,186,108.7,216,65.4,287,-0.084,347,-2.28,195,105.2,244,107.5,174,-8.12,348
190,UTSA,Amer,12-19,-2.42,107.3,165,109.7,233,70,51,-0.051,310,1.35,117,107.4,128,106.1,130,1.39,130
191,Miami FL,ACC,7-24,-2.54,113.5,70,116.1,340,67.5,164,-0.13,362,7.56,70,110,81,102.4,58,-2.66,251
192,Southern Illinois,MVC,14-19,-2.74,105.7,205,108.4,210,68,137,-0.025,254,1.17,121,108.3,104,107.1,159,2.34,106
193,Dartmouth,Ivy,14-13,-2.8,100.5,291,103.3,102,71.1,23,-0.055,315,-4.3,274,105.6,222,109.9,316,-6.56,337
194,South Florida,Amer,13-19,-2.81,103.6,231,106.4,167,68.4,117,-0.047,296,0.31,137,108.1,107,107.8,191,-5.38,319
195,Southeastern Louisiana,Slnd,18-14,-2.85,104.6,215,107.4,190,67.1,200,0.011,150,-4.03,266,104.6,270,108.6,229,-0.93,202
196,South Carolina St.,MEAC,19-12,-2.98,102.6,247,105.6,149,69.1,77,-0.034,273,-8.68,354,102.6,325,111.3,360,0.41,152
197,Elon,CAA,17-15,-2.99,107.5,159,110.4,248,65.2,294,-0.026,259,-3.47,247,105,252,108.5,223,-0.56,192
198,Texas St.,SB,16-16,-3.02,109.4,123,112.5,288,66,256,-0.041,286,-2.93,225,104.3,283,107.2,162,-0.61,194
